,Label,chroma_stft_mean,chroma_stft_std,chroma_cqt_mean,chroma_cqt_std,chroma_cens_mean,chroma_cens_std,chroma_vqt_mean,chroma_vqt_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_contrast_mean,spectral_contrast_std,spectral_flatness_mean,spectral_flatness_std,spectral_rolloff_mean,spectral_rolloff_std,poly_features_mean,poly_features_std,tonnetz_mean,tonnetz_std,zero_crossing_rate_mean,zero_crossing_rate_std
34,kick,0.8594827,0.12563686,0.6859446,0.25428113,0.27408326,0.09061851,0.508442,0.3697324,0.08014929,1.2193533,-26.476095,142.46796,0.10191666,0.12837115,630.6584898777957,993.173966830109,1229.5934845280228,679.4827509437182,11.694025523907115,9.623233134935232,0.016539061,0.067057244,899.609375,1950.0671277351812,0.32732162151437233,0.7137073353538208,0.001087224206271987,0.026568511790694093,0.018500434027777776,0.02878324387530787
35,kick,0.84281135,0.13738255,0.7807297,0.14103478,0.27735266,0.08005521,0.6578597,0.25216627,0.17995192,1.9201316,-24.615047,140.1323,0.20971912,0.1135429,516.0246542266616,817.5370643682099,916.0944129219911,935.3949302882652,11.908236927226511,9.311067987205908,0.0060534417,0.014053597,1252.840909090909,2306.9108012867728,0.631787229481947,1.0219221866309283,-0.012926919881781556,0.03806789661232929,0.006436434659090909,0.002898584466852718
36,kick,0.90553105,0.10173529,0.6187688,0.2755858,0.25743926,0.13060766,0.58244663,0.26519272,0.03119682,0.62917787,-29.994055,154.86311,0.04691977,0.0869525,823.1530295753876,1014.1155982665287,1525.24228940527,1070.0016285327445,11.053169215450136,8.831073899700547,0.004995488,0.014848657,1910.381610576923,2783.642686112232,0.1732584845826007,0.5593882092256741,-0.03599870268100602,0.07942355214990152,0.011330629006410256,0.015484369504000065
37,kick,0.8264392,0.14379328,0.39536968,0.2832871,0.20173317,0.20648745,0.43070036,0.29589233,0.560494,5.177013,-22.378258,129.14688,0.3903667,0.12176719,768.0892068187403,888.8266515713257,1334.5816736975555,1188.0898392227662,9.861772264666381,10.176444952654586,0.004422001,0.006451836,2081.54296875,2681.400209500878,1.2996742985241432,1.7752852239709034,0.028543414540335748,0.0518006819788406,0.0048828125,0.0016677979762304033
38,kick,0.880486,0.11192051,0.32331648,0.27183124,0.21527827,0.19232422,0.33137992,0.33352807,0.15680222,2.3794127,-23.71255,139.74742,0.18047221,0.16396889,417.5098477829696,957.8336858166148,776.8522312752086,755.6911495737257,11.694588782119318,9.138506381349371,0.01457156,0.063374005,772.119140625,2068.5306000551977,0.6368630738986882,1.1884307591664776,-0.013897335577796412,0.13575627684649116,0.012625558035714286,0.020584363946299398
39,kick,0.90574944,0.104032084,0.47158638,0.30227807,0.23704515,0.16475111,0.5423369,0.28198972,0.033818666,0.5284729,-28.701317,145.63696,0.0767419,0.10333248,947.4510639685507,858.5212977443899,1781.0861356493192,898.5920335686557,11.801456129920842,10.223714820644368,0.004620387,0.015628211,2312.334735576923,2615.7058088791873,0.274328171737114,0.6140025550881141,-0.021330174314234434,0.05338378295590549,0.013847155448717948,0.01444058564622862
40,kick,0.8585036,0.18500122,0.7622499,0.14952071,0.28265655,0.05863978,0.62629235,0.26351726,0.059605725,0.707146,-29.923107,154.45927,0.1100568,0.11428084,1091.2247696987504,1097.1107266212887,1667.6461041278083,1230.3728184142826,11.317656443023584,9.60405682834657,0.008374488,0.023525907,2746.1167279411766,2948.1030572224013,0.35440717370498603,0.7263806071015771,0.022946487931845064,0.028612728080574214,0.014705882352941176,0.014396269254207106
41,kick,0.83269066,0.14979869,0.5428264,0.29482815,0.24148199,0.1581764,0.5358632,0.2884491,0.016579656,0.23252133,-29.573586,153.45715,0.065168284,0.0704098,988.4222425241636,1082.594256266218,1616.2962308836268,945.2403598626888,12.194789703048178,11.065670661679627,0.012717563,0.042984594,2128.1982421875,2902.0579582172077,0.17923110215790308,0.3607114714765983,-0.004667168609227192,0.03086898578399209,0.011027018229166666,0.0036889119722673105
42,kick,0.8317129,0.1443762,0.69225043,0.18241544,0.2776399,0.079053335,0.58979553,0.25438613,0.018825762,0.24811473,-29.533794,149.59975,0.06116876,0.08029001,795.7945291094436,426.68007892549997,1620.5968251240774,397.0736049086294,11.390183532341979,11.237538167653746,0.0023789224,0.0055178395,1571.923828125,1364.7702691354402,0.178927835192271,0.4208161066149065,-0.017278322368489325,0.04492047546998518,0.011932373046875,0.004384240711627141
43,kick,0.8867855,0.120525286,0.49109063,0.28287748,0.23705204,0.16474117,0.4973401,0.2919135,0.061068896,1.1310956,-26.120787,130.6436,0.100218154,0.096893735,1057.6249074380364,664.6264503371071,1864.2424516959602,663.3101616473809,11.353318375387854,9.786556057597716,0.005520717,0.018683335,2369.9573863636365,1840.2859336309712,0.3807251598881747,0.8016774010866279,0.008246821301441422,0.039680235024315814,0.012576941287878788,0.011745248941433516
44,kick,0.8627066,0.12948275,0.67493236,0.28617704,0.2514078,0.14187123,0.575916,0.3049893,0.019265046,0.42670453,-29.6854,151.24197,0.058710203,0.0959292,1044.1954191573816,602.1101680968424,1688.6931993829774,506.1304601659292,11.769085399155374,10.401767610502931,0.005104941,0.009631064,2354.296875,1552.5159044418585,0.16896662831597198,0.4990708084474621,-0.0015347792850651323,0.02281926224945243,0.025065104166666668,0.018952330592650623
45,kick,0.91702133,0.0937568,0.49976164,0.27566975,0.24029522,0.15997356,0.3580098,0.34204116,0.046503726,1.2564057,-27.397646,145.76892,0.07791406,0.12074916,614.6964989379543,637.8209823065514,1467.8154657001369,834.7005584448772,11.205492182718332,9.237623060304735,0.0012723788,0.0029969465,1201.944247159091,2003.1417873912296,0.24468804713644324,0.7744723823070556,-0.01441702051816407,0.03649872888363147,0.002685546875,0.0018953982427803683
46,kick,0.8732566,0.1188905,0.21935757,0.30240014,0.15031733,0.24645089,0.25260416,0.34314165,0.16439494,2.1285443,-23.871325,145.388,0.21565616,0.17129144,244.02227344092623,570.7597789417961,639.4541449192998,571.7909056599815,12.139515553366168,9.529483759929985,0.0022910298,0.01140357,425.1071068548387,1344.3583904179357,0.6378576001770399,0.9986821880821153,-0.04863797861812894,0.22854763387070134,0.00968686995967742,0.015264522876425433
47,kick,0.8542032,0.13466835,0.49244693,0.25841117,0.24803674,0.14768584,0.5052834,0.28212875,0.02602443,0.65540713,-28.023653,151.34813,0.05295503,0.07477877,774.7139610051134,1332.3367773015261,1237.2426990902738,918.0170851344963,12.077357077899679,9.396630801231423,0.020724263,0.08261551,1420.0274493243244,2758.694798188718,0.17488385718718155,0.5773872383146614,0.031214551458587543,0.055116494159586214,0.015704180743243243,0.02678435511024826
48,kick,0.824863,0.14617164,0.53780943,0.26853907,0.24787076,0.14796424,0.5394374,0.2801952,0.02698759,0.82437134,-28.184408,146.59871,0.053660788,0.09335103,1072.8492030784985,1121.3019874873228,1701.4291977956877,801.0057930716389,12.139144427951289,10.014625546710722,0.020616509,0.08714948,2184.8323170731705,2474.946054051528,0.16003736096435978,0.48592513708640395,-0.002077588256898434,0.045763510163508284,0.030011432926829267,0.036121882868134024
49,kick,0.79431814,0.17011501,0.566077,0.32021093,0.24654827,0.15015756,0.4093504,0.31862977,0.016778637,0.37584934,-30.289026,152.40654,0.0350607,0.07402641,906.7496754247591,528.7935695404798,1743.1559944498258,584.3950034783318,11.991523603782854,10.143547398547332,0.0025662808,0.00651447,1822.7565456081081,1741.4693937049844,0.13754492139068442,0.5003320998672172,-0.017045238942006713,0.05903775055668609,0.015730574324324325,0.009427977796962647
